chr	max_distance	density
XIV	80	0.055429262825866056
XV	80	0.05882024134717504
XVI	80	0.055663846187923624
I	85	0.07177979132821934
II	85	0.06634537816779475
III	85	0.03507200721481291
IV	85	0.061716145549446356
V	85	0.07242522610099467
VI	85	0.07871232339234753
VII	85	0.05582433497717565
VIII	85	0.04867562557429844
IX	85	0.07400292801804095
X	85	0.06301969424110729
XI	85	0.07241427920145888
XII	85	0.061795975985390154
XIII	85	0.06637488357703279
XIV	85	0.06060818555384002
XV	85	0.06330300533954739
XVI	85	0.061948218794894025
I	90	0.0783127296736137
II	90	0.07316179364079962
III	90	0.037561493441221505
IV	90	0.06683255729852415
V	90	0.07836721231794747
VI	90	0.08587842064546697
VII	90	0.06069169706858306
VIII	90	0.05464388608762572
IX	90	0.0812093078238097
X	90	0.06951381895565678
XI	90	0.07915826854784529
XII	90	0.06684894966225396
XIII	90	0.07237100443407891
XIV	90	0.06634681952691013
XV	90	0.06999416287681287
XVI	90	0.06781278940495704
I	95	0.08554500516901371
II	95	0.07785445852353219
III	95	0.04107182559191841
IV	95	0.07158080673240931
V	95	0.08545836443487771
VI	95	0.09170827765665658
VII	95	0.06527306726309422
VIII	95	0.05760491110704301
IX	95	0.08671298148619648
X	95	0.07523690883418192
XI	95	0.08543586236682983
XII	95	0.07185183879826781
XIII	95	0.07741086138392157
XIV	95	0.07169276315034558
XV	95	0.07502031996965063
XVI	95	0.07203612406731177
I	100	0.09023621089575967
II	100	0.0837534924445144
III	100	0.044131231935567714
IV	100	0.07712543564242039
V	100	0.09190896939608034
VI	100	0.09751592568875596
VII	100	0.07038150585733405
VIII	100	0.06141372060080726
IX	100	0.09273724220710726
X	100	0.08047458199854911
XI	100	0.09117507678280065
XII	100	0.07639561964315691
XIII	100	0.08303161620499529
XIV	100	0.07668044057817279
XV	100	0.08139991991137102
XVI	100	0.0779112424662418
I	105	0.09827641626632148
II	105	0.0895639855186526
III	105	0.0476760098076363
IV	105	0.08389857780986505
V	105	0.09783186071137188
VI	105	0.10512620252368032
VII	105	0.07491796065778136
VIII	105	0.06672081586370043
IX	105	0.09716791546939221
X	105	0.08531936262908128
XI	105	0.0968962952298685
XII	105	0.0812630950205764
XIII	105	0.0901678978744763
XIV	105	0.08075396547129854
XV	105	0.08781617368786145
XVI	105	0.08323893062297351
I	110	0.1006263628387007
II	110	0.09552573587281599
III	110	0.05073228472207
IV	110	0.0891860153152912
V	110	0.1027097401357474
VI	110	0.11271797187602949
VII	110	0.07965057656699727
VIII	110	0.07074823644833403
IX	110	0.10351725893863893
X	110	0.09009441489183387
XI	110	0.10142528073711489
XII	110	0.08686421617229824
XIII	110	0.09554309623974098
XIV	110	0.08557207206632897
XV	110	0.09344162097918887
XVI	110	0.08777026072024521
I	115	0.10603428055147729
II	115	0.10329888438532976
III	115	0.054621519807855505
IV	115	0.095297248639464
V	115	0.1085927057475654
VI	115	0.11731893204422549
VII	115	0.08356646561680753
VIII	115	0.07657786553818319
IX	115	0.10916642418070054
X	115	0.09418291091798738
XI	115	0.10783784432287168
XII	115	0.09221213214527856
XIII	115	0.10226615074570194
XIV	115	0.09262009886107049
XV	115	0.099750662288977
XVI	115	0.09289332177295674
I	120	0.11221972217637197
II	120	0.10868511923500708
III	120	0.05906188643558807
IV	120	0.10106904153118967
V	120	0.11413196312948079
VI	120	0.12210496703817353
VII	120	0.08787192696206941
VIII	120	0.08181742241527931
IX	120	0.11642736332884734
X	120	0.10020771008017422
XI	120	0.11384999760053748
XII	120	0.09747379140901725
XIII	120	0.10866900828725995
XIV	120	0.09761925100690651
XV	120	0.10321444967474304
XVI	120	0.09876105671967986
I	125	0.11810979158884188
II	125	0.11550399417597985
III	125	0.060605681038882954
IV	125	0.1077390460287754
V	125	0.1179752460638464
VI	125	0.12621732966638413
VII	125	0.09239463215208903
VIII	125	0.08552847898223208
IX	125	0.12148319572254755
X	125	0.10647789945973925
XI	125	0.11939275602265093
XII	125	0.10317137167645016
XIII	125	0.11346006354178949
XIV	125	0.10263370277675427
XV	125	0.10805825393959997
XVI	125	0.10498952604565505
I	130	0.12753129642339
II	130	0.1216465154257831
III	130	0.06503352194975309
IV	130	0.11358786578786409
V	130	0.12529032930025866
VI	130	0.13188802232742697
VII	130	0.09800997305076356
