chr	max_distance	density
V	120	0.8858680368705192
VI	120	0.8778950329618265
VII	120	0.9121280730379306
VIII	120	0.9181825775847207
IX	120	0.8835726366711527
X	120	0.8997922899198257
XI	120	0.8861500023994625
XII	120	0.9025262085909828
XIII	120	0.8913309917127401
XIV	120	0.9023807489930935
XV	120	0.896785550325257
XVI	120	0.9012389432803202
I	125	0.8818902084111582
II	125	0.8844960058240201
III	125	0.939394318961117
IV	125	0.8922609539712246
V	125	0.8820247539361535
VI	125	0.8737826703336159
VII	125	0.907605367847911
VIII	125	0.914471521017768
IX	125	0.8785168042774525
X	125	0.8935221005402607
XI	125	0.880607243977349
XII	125	0.8968286283235498
XIII	125	0.8865399364582105
XIV	125	0.8973662972232458
XV	125	0.8919417460604
XVI	125	0.895010473954345
I	130	0.87246870357661
II	130	0.8783534845742169
III	130	0.9349664780502469
IV	130	0.8864121342121359
V	130	0.8747096706997414
VI	130	0.868111977672573
VII	130	0.9019900269492365
VIII	130	0.9092301868147298
IX	130	0.8698054959444222
X	130	0.8868482911856639
XI	130	0.8746625755830694
XII	130	0.8904391393991895
XIII	130	0.8808640125655673
XIV	130	0.8918303832683312
XV	130	0.8858617912179244
XVI	130	0.8893515852271888
I	135	0.8631775100122493
II	135	0.8713169467180859
III	135	0.9320354603044375
IV	135	0.8798093650309772
V	135	0.8703282587185585
VI	135	0.8627300017397034
VII	135	0.8973655746420518
VIII	135	0.9049752685095167
IX	135	0.8628173535081657
X	135	0.8789971451597115
XI	135	0.8672977253095306
XII	135	0.8839021793267711
XIII	135	0.8763985630079476
XIV	135	0.8848805290609983
XV	135	0.8801364622268487
XVI	135	0.8847242702512272
I	140	0.855376208637031
II	140	0.8669095801196285
III	140	0.929865379858021
IV	140	0.8755807205667611
V	140	0.8655389102018852
VI	140	0.8581179370819623
VII	140	0.8925733770876492
VIII	140	0.9020426807051718
IX	140	0.8559292365329356
X	140	0.8752814277151489
XI	140	0.8621268835780785
XII	140	0.879551316713304
XIII	140	0.871338152874579
XIV	140	0.8794313129754836
XV	140	0.8740555910385039
XVI	140	0.8804977712522124
I	145	0.8467235402965885
II	145	0.8612896958130017
III	145	0.9258383618867487
IV	145	0.8707319445432666
V	145	0.8566024962244172
VI	145	0.8528433045480288
VII	145	0.8883705795002474
VIII	145	0.896954196533148
IX	145	0.8461926672243844
X	145	0.8693411071523873
XI	145	0.8544321072079855
XII	145	0.8734586250680547
XIII	145	0.8654610241326827
XIV	145	0.8735881315716666
XV	145	0.8672370614254127
XVI	145	0.8752196577031557
I	150	0.8364072314067535
II	150	0.8547389028805289
III	150	0.9230451270264262
IV	150	0.8650267341979055
V	150	0.8517211449997396
VI	150	0.846276849730346
VII	150	0.8829376500999139
VIII	150	0.8930067556159057
IX	150	0.8391158658567636
X	150	0.8625801373380659
XI	150	0.8444458441309147
XII	150	0.8696132453205735
XIII	150	0.8580597145703681
XIV	150	0.866601303272972
XV	150	0.8618003813831507
XVI	150	0.868816095081988
I	155	0.8304129129781338
II	155	0.8496441149850464
III	155	0.9211318237756895
IV	155	0.8590414854957756
V	155	0.8448348291006301
VI	155	0.8406246645518783
VII	155	0.8790144279245421
VIII	155	0.8894609903615615
IX	155	0.8338872622121994
X	155	0.8564306316719655
XI	155	0.8405362198867453
XII	155	0.8659218291616312
XIII	155	0.8507730701371979
XIV	155	0.8605477520389937
XV	155	0.858289860358053
XVI	155	0.8622068505779134
I	160	0.8269813828631992
II	160	0.8407125570596569
III	160	0.9186673889830057
IV	160	0.8531711243246278
V	160	0.8366431162879511
VI	160	0.8353759424935502
VII	160	0.8740966505948998
VIII	160	0.8841201259057697
IX	160	0.8278084421489106
X	160	0.8501054641562666
XI	160	0.8343770995297053
XII	160	0.8587634497860741
XIII	160	0.8466851501085533
XIV	160	0.8553050808776375
XV	160	0.8540847491640635
XVI	160	0.8568802172000684
I	165	0.8184850880469815
II	165	0.8328877597198174
III	165	0.9151069539648591
IV	165	0.8466643123426416
V	165	0.8304129706459284
VI	165	0.8263035745351845
VII	165	0.8699204355876583
VIII	165	0.8792004876982384
IX	165	0.8192926381260685
X	165	0.8437534780375755
XI	165	0.8277755782704674
XII	165	0.8537689080735352
